iter	Passed	Remaining
0	141	140915
1	143	71568
2	146	48601
3	149	37171
4	153	30502
5	157	26021
6	160	22722
7	163	20248
8	166	18327
9	169	16796
10	172	15529
11	175	14490
12	179	13640
13	183	12889
14	186	12237
15	189	11652
16	192	11122
17	195	10649
18	198	10236
19	201	9853
20	203	9505
21	206	9191
22	209	8913
23	212	8647
24	215	8414
25	218	8194
26	221	7987
27	224	7786
28	227	7613
29	230	7455
30	233	7298
31	236	7155
32	239	7023
33	242	6894
34	245	6765
35	248	6644
36	250	6530
37	253	6426
38	256	6321
39	259	6228
40	262	6135
41	265	6045
42	267	5959
43	270	5878
44	273	5799
45	276	5731
46	279	5661
47	281	5591
48	284	5518
49	287	5461
50	290	5402
51	293	5345
52	295	5287
53	298	5234
54	301	5179
55	305	5150
56	308	5107
57	311	5062
58	314	5016
59	317	4976
60	320	4936
61	323	4894
62	326	4859
63	330	4828
64	333	4795
65	336	4755
66	338	4716
67	341	4680
68	344	4642
69	347	4611
70	350	4582
71	353	4553
72	356	4522
73	358	4491
74	361	4459
75	364	4430
76	367	4401
77	369	4370
78	372	4342
79	375	4312
80	377	4285
81	380	4259
82	383	4234
83	385	4208
84	388	4186
85	391	4164
86	394	4140
87	397	4116
88	400	4096
89	402	4072
90	405	4048
91	407	4026
92	410	4005
93	413	3984
94	416	3966
95	419	3947
96	421	3926
97	424	3907
98	427	3888
99	429	3868
100	432	3852
101	435	3835
102	438	3818
103	441	3799
104	443	3782
105	446	3765
106	449	3747
107	451	3730
108	454	3712
109	456	3696
110	459	3681
111	462	3666
112	465	3652
113	469	3645
114	472	3635
115	475	3625
116	478	3611
117	481	3597
118	484	3583
119	486	3571
120	489	3559
121	493	3548
122	496	3537
123	499	3526
124	502	3514
125	505	3506
126	508	3494
127	511	3485
128	514	3475
129	517	3465
130	520	3455
131	523	3445
132	526	3434
133	529	3423
134	532	3411
135	535	3403
136	538	3393
137	541	3384
138	544	3374
139	547	3363
140	550	3352
141	553	3343
142	556	3334
143	559	3326
144	562	3317
145	565	3308
146	568	3298
147	571	3289
148	574	3279
149	576	3269
150	580	3261
151	582	3252
152	585	3242
153	588	3234
154	591	3224
155	594	3216
156	597	3206
157	599	3196
158	602	3187
159	605	3178
160	608	3169
161	611	3160
162	613	3152
163	616	3143
164	619	3133
165	621	3124
166	624	3114
167	627	3105
168	631	3103
169	634	3095
170	636	3087
171	639	3079
172	642	3072
173	645	3062
174	648	3055
